Borderpoint,Exit,Entry,Month,Flow Volume
Adriatic LNG,Liquefied Natural Gas,Italy,,1.1
Almeria,Algeria,Spain,,1.3
Alveringem,Belgium,France,,1.1
Alveringem,France,Belgium,,1.1
Badajoz,Portugal,Spain,,0.3
Badajoz,Spain,Portugal,,0.5
Baltic Connector Inkoo/Paldiski,Finland,Estonia,,0.3
Baltic Connector Inkoo/Paldiski,Estonia,Finland,,0.3
Barcelona,Liquefied Natural Gas,Spain,,2.1
Basel,Germany,Switzerland,,
Baumgarten,Slovak Republic,Austria,,8.8
Baumgarten,Austria,Slovak Republic,,1.1
Bauska,Latvia,Lithuania,,
BBL,Netherlands,United Kingdom,,2.2
BBL,United Kingdom,Netherlands,,
Beregdaróc,Ukraine,Hungary,,2.0
Beregdaróc,Hungary,Ukraine,,0.7
Bilbao,Liquefied Natural Gas,Spain,,0.8
Biriatou,France,Spain,,
Biriatou,Spain,France,,
Bizzarone Como,Italy,Switzerland,,0.1
Blaregnies (H),Belgium,France,,1.0
Bocholtz,Germany,Netherlands,,
Bocholtz,Netherlands,Germany,,1.9
Bocholtz-Vetschau,Netherlands,Germany,,0.1
Brandov EUGAL,Germany,Czech Republic,,4.4
Brandov OPAL,Germany,Czech Republic,,3.8
Brandov OPAL,Czech Republic,Germany,,
Branice,Czech Republic,Poland,,0.0
Bras,Belgium,Luxembourg,,0.1
Bras - Petange,Belgium,Luxembourg,,0.2
Budince,Ukraine,Slovak Republic,,
Budince,Slovak Republic,Ukraine,,1.1
Bunde,Germany,Netherlands,,1.2
Bunde,Netherlands,Germany,,
Cartagena,Liquefied Natural Gas,Spain,,1.4
Csanadpalota,Romania,Hungary,,0.3
Csanadpalota,Hungary,Romania,,0.3
Dinxperlo (RWE),Netherlands,Germany,,
Dogubajazit,"Iran, Islamic Republic",Republic of Türkiye,,1.2
Dornum,Norway,Germany,,3.0
Dortyol FSRU,Liquefied Natural Gas,Republic of Türkiye,,1.2
Dragon LNG,Liquefied Natural Gas,United Kingdom,,1.2
Dragor,Denmark,Sweden,,0.4
Dravaszerdahely,Hungary,Croatia,,0.3
Dravaszerdahely,Croatia,Hungary,,0.2
Drozdowicze,Ukraine,Poland,,0.7
Dunkerque,Norway,France,,2.1
Dunkerque (LNG),Liquefied Natural Gas,France,,2.0
Easington,Norway,United Kingdom,,3.1
Edirne,Republic of Türkiye,Liquefied Natural Gas,,
Ellund,Germany,Denmark,,0.2
Ellund,Denmark,Germany,,0.4
Emden (EPT1),Norway,Netherlands,,
Emden (EPT1),Norway,Germany,,3.7
Emden (EPT1),Netherlands,Norway,,
Emden (NPT),Norway,Netherlands,,
Emden (NPT),Norway,Germany,,
Emden (NPT),Netherlands,Norway,,
Etki FSRU,Liquefied Natural Gas,Republic of Türkiye,,
Eynatten (EON/RWE),Germany,Belgium,,1.4
Eynatten (EON/RWE),Belgium,Germany,,1.2
Eynatten (Wingas),Germany,Belgium,,
Eynatten (Wingas),Belgium,Germany,,
Faxe,Denmark,Poland,,1.2
Fernana,Algeria,Tunisia,,
Finkenherd (EWE),Germany,Poland,,0.0
Fos sur Mer,Liquefied Natural Gas,France,,0.7
FSRU Alexandroupolis,Liquefied Natural Gas,Greece,,0.9
Gate,Liquefied Natural Gas,Netherlands,,
Gela,Libya,Italy,,1.5
Giurgiu,Romania,Bulgaria,,0.2
Giurgiu,Bulgaria,Romania,,0.1
Gorizia,Slovenia,Italy,,0.2
Gorizia,Italy,Slovenia,,0.2
Griespass,Switzerland,Italy,,2.7
Griespass,Italy,Switzerland,,2.4
Gubin,Germany,Poland,,0.0
Haanrade (RWE),Netherlands,Germany,,0.0
Hermanowice,Poland,Ukraine,,0.3
Hilvarenbeek,Netherlands,Belgium,,2.9
Hilvarenbeek,Belgium,Netherlands,,
"Hochst, Feldkirch/Bangs (Dist. networks)",Switzerland,Austria,,0.1
"Hochst, Feldkirch/Bangs (Dist. networks)",Austria,Switzerland,,0.1
Hora svate Kateriny,Germany,Czech Republic,,0.6
Hora svate Kateriny,Czech Republic,Germany,,0.8
Huelva,Liquefied Natural Gas,Spain,,1.4
Imatra,Russia,Finland,,0.8
Interconnector,United Kingdom,Belgium,,2.9
Interconnector,Belgium,United Kingdom,,3.4
Interfield transfer from Blane to Ula,United Kingdom,Norway,,
Isaccea,Romania,Ukraine,,0.5
Isaccea,Ukraine,Romania,,0.8
Isle of Grain,Liquefied Natural Gas,United Kingdom,,2.3
Isle of Grain,United Kingdom,Liquefied Natural Gas,,
Isle of Man,United Kingdom,Isle Of Man,,1.2
Izmir,Liquefied Natural Gas,Republic of Türkiye,,2.8
Jidilovo,Bulgaria,North Macedonia,,0.1
Jidilovo,North Macedonia,Bulgaria,,
Jura,France,Switzerland,,0.2
Kalotina (BG)/ Dimitrovgrad (RS),Serbia,Bulgaria,,0.0
Kalotina (BG)/ Dimitrovgrad (RS),Bulgaria,Serbia,,0.2
Kamminke,Poland,Germany,,0.0
Karksi,Latvia,Estonia,,0.4
Karksi,Estonia,Latvia,,0.4
Kastoria (TAP),Greece,Albania,,1.3
Kiefersfelden,Germany,Austria,,0.1
Kieménai,Lithuania,Latvia,,0.3
Kieménai,Latvia,Lithuania,,0.3
Kipi,Republic of Türkiye,Greece,,1.7
Kireevo(BG)/Zaychar(RS),Bulgaria,Serbia,,1.6
Kireevo(BG)/Zaychar(RS),Serbia,Bulgaria,,
Kiskundorozsma,Hungary,Serbia,,0.6
Kiskundorozsma,Serbia,Hungary,,1.0
Kiyikoy,Russia,Republic of Türkiye,,1.9
Klaipeda,Liquefied Natural Gas,Lithuania,,0.5
Kondratki,Belarus,Poland,,
Korneti,Estonia,Latvia,,0.4
Korneti,Latvia,Estonia,,0.4
Kotlovka,Belarus,Lithuania,,1.3
KrK - Omisalj,Liquefied Natural Gas,Croatia,,0.5
KrK - Omisalj,Croatia,Liquefied Natural Gas,,0.5
Kula,Greece,Bulgaria,,0.3
Kula,Bulgaria,Greece,,0.5
Laa,Czech Republic,Austria,,0.0
Laa,Austria,Czech Republic,,0.0
Lanzhot,Slovak Republic,Czech Republic,,6.5
Lanzhot,Czech Republic,Slovak Republic,,5.5
Larrau,France,Spain,,
Larrau,Spain,France,,
Lasow,Germany,Poland,,0.2
Lindau,Germany,Austria,,
Livorno,Liquefied Natural Gas,Italy,,0.6
Malkoclar,Republic of Türkiye,Bulgaria,,0.5
Malkoclar,Bulgaria,Republic of Türkiye,,1.9
Malkoclar2,Republic of Türkiye,Bulgaria,,2.2
Mallnow (Frankfurt am Oder),Germany,Poland,,1.3
Mallnow (Frankfurt am Oder),Poland,Germany,,3.6
Marmara Ereglisi,Liquefied Natural Gas,Republic of Türkiye,,1.5
Marmara Ereglisi,Republic of Türkiye,Liquefied Natural Gas,,1.5
Mazara del Vallo,Tunisia,Italy,,4.4
Mediesu Aurit,Ukraine,Romania,,0.8
Melendugno (TAP),Albania,Italy,,
Melendugno (TAP),Italy,Albania,,
Moffat,United Kingdom,Ireland,,1.2
Mokri Haj,Slovak Republic,Czech Republic,,
Montoir de Bretagne,Liquefied Natural Gas,France,,1.2
Moravia,Czech Republic,Poland,,0.1
Mosonmagyarovar,Austria,Hungary,,0.6
Mosonmagyarovar,Hungary,Austria,,
Murfeld,Austria,Slovenia,,0.4
Murgardos,Liquefied Natural Gas,Spain,,0.4
Musel,Liquefied Natural Gas,Spain,,0.2
Narva,Russia,Estonia,,0.1
Negru Voda,Romania,Bulgaria,,3.4
Negru Voda,Bulgaria,Romania,,0.6
Nord Stream,Russia,Germany,,6.7
Northern Offshore Gas Transport (NOGAT),Denmark,Netherlands,,0.6
Not Elsewhere Specified,Croatia,Italy,,
Not Elsewhere Specified,Finland,Liquefied Natural Gas,,
Not Elsewhere Specified,Liquefied Natural Gas,Finland,,
Not Elsewhere Specified,Not Elsewhere Specified,Ukraine,,
Not Elsewhere Specified,Russia,Ukraine,,
Not Elsewhere Specified,Republic of Türkiye,Liquefied Natural Gas,,
Not Elsewhere Specified,Ukraine,"Moldova, Republic",,
Nybro,Norway,Denmark,,1.1
Obbicht,Netherlands,Belgium,,
Obergailbach,Germany,France,,2.0
Oberkappel,Austria,Germany,,0.5
Oberkappel,Germany,Austria,,0.7
"Oberkappel, Uberackern, Storage/distribution",Germany,Austria,,4.7
"Oberkappel, Uberackern, Storage/distribution",Austria,Germany,,5.7
Olbernhau,Germany,Czech Republic,,1.3
Olbernhau,Czech Republic,Germany,,0.0
Oltingue,France,Switzerland,,0.9
Oltingue,Switzerland,France,,0.9
Oude (H-Gas),Netherlands,Germany,,0.6
Oude (H-Gas),Germany,Netherlands,,0.8
Oude (L-Gas),Netherlands,Germany,,1.0
Oude (L-Gas),Germany,Netherlands,,0.3
Panigaglia,Liquefied Natural Gas,Italy,,0.5
Petange,Belgium,Luxembourg,,0.1
Piombino,Liquefied Natural Gas,Italy,,0.5
Privalka,Belarus,Lithuania,,0.0
Remich,Germany,Luxembourg,,0.2
Revithoussa,Liquefied Natural Gas,Greece,,0.9
Revithoussa,Greece,Liquefied Natural Gas,,
Rogatec,Slovenia,Croatia,,0.3
Rogatec,Croatia,Slovenia,,0.0
Ruggel,Austria,Liechtenstein,,0.0
s Gravenvoeren,Belgium,Netherlands,,
s Gravenvoeren,Netherlands,Belgium,,
Sagunto,Liquefied Natural Gas,Spain,,1.1
Sâkiai,Lithuania,Russia,,0.4
Samsun,Russia,Republic of Türkiye,,2.0
Santaka,Lithuania,Poland,,0.3
Santaka,Poland,Lithuania,,0.3
Saros FSRU,Liquefied Natural Gas,Republic of Türkiye,,0.8
Sines,Liquefied Natural Gas,Portugal,,0.8
Snohvit,Norway,Liquefied Natural Gas,,
South Hook,Liquefied Natural Gas,United Kingdom,,2.4
St Fergus (Alvheim and Edvard Greig),Norway,United Kingdom,,0.3
St Fergus (GB) / Gjoa Gas Pipeline (NO),Norway,United Kingdom,,2.4
St Fergus (GB) / Statfjord-Tampen Link (NO),Norway,United Kingdom,,2.4
St Fergus (Statfjord),Norway,United Kingdom,,1.8
St Fergus (Vesterled),Norway,United Kingdom,,1.5
Stara Zagora,Greece,Bulgaria,,0.5
Stara Zagora,Bulgaria,Greece,,0.1
Swinoujscie,Liquefied Natural Gas,Poland,,0.9
Tarifa,Morocco,Spain,,1.7
Tarifa,Spain,Morocco,,0.1
Tarvisio,Austria,Italy,,5.0
Tarvisio,Italy,Austria,,1.0
Tasnieres (L),Belgium,France,,1.1
Teesside,Liquefied Natural Gas,United Kingdom,,
Teesside via CATS,Norway,United Kingdom,,2.0
Tegelen (OGE),Netherlands,Germany,,0.0
Thayngen,Germany,Switzerland,,
Tietierowka,Belarus,Poland,,
Turkgozu,Georgia,Republic of Türkiye,,0.8
Tuy,Portugal,Spain,,0.1
Tuy,Spain,Portugal,,0.1
Uberackern I,Austria,Germany,,0.2
Uberackern I/II,Germany,Austria,,0.5
Uberackern II,Austria,Germany,,0.9
Uberackern II,Germany,Austria,,
Ungheni,Romania,"Moldova, Republic",,0.3
Varska,Russia,Estonia,,0.2
Velke Kapusany,Ukraine,Slovak Republic,,8.3
Velke Zlievce,Hungary,Slovak Republic,,0.4
Velke Zlievce,Slovak Republic,Hungary,,0.5
VIP Iberico,Portugal,Spain,,0.3
VIP Iberico,Spain,Portugal,,0.5
VIP Pirineos,France,Spain,,0.9
VIP Pirineos,Spain,France,,0.9
VIP-BENE,Belgium,Netherlands,,1.7
VIP-BENE,Netherlands,Belgium,,3.1
VIP-THE-ZTP,Belgium,Germany,,2.1
VIP-THE-ZTP,Germany,Belgium,,2.1
Virtualys,Belgium,France,,2.6
Virtualys,France,Belgium,,1.1
Vlieghuis (RWE),Netherlands,Germany,,
Vyrava,Poland,Slovak Republic,,0.6
Vyrava,Slovak Republic,Poland,,0.7
Waidhaus,Czech Republic,Germany,,4.2
Waidhaus,Germany,Czech Republic,,0.5
Wallbach,Germany,Switzerland,,2.2
Wallbach,Switzerland,Germany,,2.2
WestGasTransport (WGT) Pipeline,United Kingdom,Netherlands,,0.6
Winterswijk,Germany,Netherlands,,
Winterswijk,Netherlands,Germany,,0.8
Wysokoje,Belarus,Poland,,
Zandvliet (H),Netherlands,Belgium,,
Zandvliet (L),Netherlands,Belgium,,
Zeebrugge (LNG),Belgium,Liquefied Natural Gas,,1.9
Zeebrugge (LNG),Liquefied Natural Gas,Belgium,,1.9
Zeebrugge (ZPT),Norway,Belgium,,1.9
Zelzate (GTS),Belgium,Netherlands,,
Zelzate (GTS),Netherlands,Belgium,,
Zelzate (Zebra),Belgium,Netherlands,,
Zevenaar,Germany,Netherlands,,
Zevenaar,Netherlands,Germany,,1.9
Adriatic LNG,Liquefied Natural Gas,Italy,2008-10-01,0.0
Almeria,Algeria,Spain,2008-10-01,0.0
Alveringem,Belgium,France,2008-10-01,0.0
Alveringem,France,Belgium,2008-10-01,0.0
Badajoz,Portugal,Spain,2008-10-01,0.0
Badajoz,Spain,Portugal,2008-10-01,153.0
Baltic Connector Inkoo/Paldiski,Finland,Estonia,2008-10-01,0.0
Baltic Connector Inkoo/Paldiski,Estonia,Finland,2008-10-01,0.0
Barcelona,Liquefied Natural Gas,Spain,2008-10-01,537.0
Basel,Germany,Switzerland,2008-10-01,0.0
Baumgarten,Slovak Republic,Austria,2008-10-01,2655.0
Baumgarten,Austria,Slovak Republic,2008-10-01,0.0
Bauska,Latvia,Lithuania,2008-10-01,0.0
BBL,Netherlands,United Kingdom,2008-10-01,0.0
BBL,United Kingdom,Netherlands,2008-10-01,0.0
Beregdaróc,Ukraine,Hungary,2008-10-01,872.0
Beregdaróc,Hungary,Ukraine,2008-10-01,0.0
Bilbao,Liquefied Natural Gas,Spain,2008-10-01,401.0
Biriatou,France,Spain,2008-10-01,0.0
Biriatou,Spain,France,2008-10-01,0.0
Bizzarone Como,Italy,Switzerland,2008-10-01,6.0
Blaregnies (H),Belgium,France,2008-10-01,859.0
Bocholtz,Germany,Netherlands,2008-10-01,0.0
Bocholtz,Netherlands,Germany,2008-10-01,1084.0
Bocholtz-Vetschau,Netherlands,Germany,2008-10-01,
Brandov EUGAL,Germany,Czech Republic,2008-10-01,0.0
Brandov OPAL,Germany,Czech Republic,2008-10-01,0.0
Brandov OPAL,Czech Republic,Germany,2008-10-01,0.0
Branice,Czech Republic,Poland,2008-10-01,0.0
Bras,Belgium,Luxembourg,2008-10-01,28.0
Bras - Petange,Belgium,Luxembourg,2008-10-01,
Budince,Ukraine,Slovak Republic,2008-10-01,0.0
Budince,Slovak Republic,Ukraine,2008-10-01,0.0
Bunde,Germany,Netherlands,2008-10-01,
Bunde,Netherlands,Germany,2008-10-01,
Cartagena,Liquefied Natural Gas,Spain,2008-10-01,315.0
Csanadpalota,Romania,Hungary,2008-10-01,0.0
Csanadpalota,Hungary,Romania,2008-10-01,0.0
Dinxperlo (RWE),Netherlands,Germany,2008-10-01,0.0
Dogubajazit,"Iran, Islamic Republic",Republic of Türkiye,2008-10-01,343.0
Dornum,Norway,Germany,2008-10-01,1460.0
Dortyol FSRU,Liquefied Natural Gas,Republic of Türkiye,2008-10-01,
Dragon LNG,Liquefied Natural Gas,United Kingdom,2008-10-01,0.0
Dragor,Denmark,Sweden,2008-10-01,74.0
Dravaszerdahely,Hungary,Croatia,2008-10-01,0.0
Dravaszerdahely,Croatia,Hungary,2008-10-01,0.0
Drozdowicze,Ukraine,Poland,2008-10-01,408.0
Dunkerque,Norway,France,2008-10-01,1228.0
Dunkerque (LNG),Liquefied Natural Gas,France,2008-10-01,0.0
Easington,Norway,United Kingdom,2008-10-01,1617.0
Edirne,Republic of Türkiye,Liquefied Natural Gas,2008-10-01,
Ellund,Germany,Denmark,2008-10-01,0.0
Ellund,Denmark,Germany,2008-10-01,153.0
Emden (EPT1),Norway,Netherlands,2008-10-01,0.0
Emden (EPT1),Norway,Germany,2008-10-01,
Emden (EPT1),Netherlands,Norway,2008-10-01,0.0
Emden (NPT),Norway,Netherlands,2008-10-01,0.0
Emden (NPT),Norway,Germany,2008-10-01,
Emden (NPT),Netherlands,Norway,2008-10-01,0.0
Etki FSRU,Liquefied Natural Gas,Republic of Türkiye,2008-10-01,
Eynatten (EON/RWE),Germany,Belgium,2008-10-01,240.0
Eynatten (EON/RWE),Belgium,Germany,2008-10-01,0.0
Eynatten (Wingas),Germany,Belgium,2008-10-01,0.0
Eynatten (Wingas),Belgium,Germany,2008-10-01,282.0
Faxe,Denmark,Poland,2008-10-01,0.0
Fernana,Algeria,Tunisia,2008-10-01,2170.0
Finkenherd (EWE),Germany,Poland,2008-10-01,0.0
Fos sur Mer,Liquefied Natural Gas,France,2008-10-01,414.0
FSRU Alexandroupolis,Liquefied Natural Gas,Greece,2008-10-01,
Gate,Liquefied Natural Gas,Netherlands,2008-10-01,0.0
Gela,Libya,Italy,2008-10-01,822.0
Giurgiu,Romania,Bulgaria,2008-10-01,0.0
Giurgiu,Bulgaria,Romania,2008-10-01,0.0
Gorizia,Slovenia,Italy,2008-10-01,0.0
Gorizia,Italy,Slovenia,2008-10-01,1.0
Griespass,Switzerland,Italy,2008-10-01,1475.0
Griespass,Italy,Switzerland,2008-10-01,0.0
Gubin,Germany,Poland,2008-10-01,0.0
Haanrade (RWE),Netherlands,Germany,2008-10-01,0.0
Hermanowice,Poland,Ukraine,2008-10-01,0.0
Hilvarenbeek,Netherlands,Belgium,2008-10-01,0.0
Hilvarenbeek,Belgium,Netherlands,2008-10-01,0.0
"Hochst, Feldkirch/Bangs (Dist. networks)",Switzerland,Austria,2008-10-01,
"Hochst, Feldkirch/Bangs (Dist. networks)",Austria,Switzerland,2008-10-01,
Hora svate Kateriny,Germany,Czech Republic,2008-10-01,270.0
Hora svate Kateriny,Czech Republic,Germany,2008-10-01,1772.0
Huelva,Liquefied Natural Gas,Spain,2008-10-01,449.0
Imatra,Russia,Finland,2008-10-01,455.0
Interconnector,United Kingdom,Belgium,2008-10-01,945.0
Interconnector,Belgium,United Kingdom,2008-10-01,0.0
Interfield transfer from Blane to Ula,United Kingdom,Norway,2008-10-01,3.0
Isaccea,Romania,Ukraine,2008-10-01,0.0
Isaccea,Ukraine,Romania,2008-10-01,1491.0
Isle of Grain,Liquefied Natural Gas,United Kingdom,2008-10-01,73.0
Isle of Grain,United Kingdom,Liquefied Natural Gas,2008-10-01,0.0
Isle of Man,United Kingdom,Isle Of Man,2008-10-01,0.0
Izmir,Liquefied Natural Gas,Republic of Türkiye,2008-10-01,95.0
Jidilovo,Bulgaria,North Macedonia,2008-10-01,8.0
Jidilovo,North Macedonia,Bulgaria,2008-10-01,0.0
Jura,France,Switzerland,2008-10-01,0.0
Kalotina (BG)/ Dimitrovgrad (RS),Serbia,Bulgaria,2008-10-01,
Kalotina (BG)/ Dimitrovgrad (RS),Bulgaria,Serbia,2008-10-01,
Kamminke,Poland,Germany,2008-10-01,2.0
Karksi,Latvia,Estonia,2008-10-01,10.0
Karksi,Estonia,Latvia,2008-10-01,0.0
Kastoria (TAP),Greece,Albania,2008-10-01,0.0
Kiefersfelden,Germany,Austria,2008-10-01,6.0
Kieménai,Lithuania,Latvia,2008-10-01,0.0
Kieménai,Latvia,Lithuania,2008-10-01,0.0
Kipi,Republic of Türkiye,Greece,2008-10-01,51.0
Kireevo(BG)/Zaychar(RS),Bulgaria,Serbia,2008-10-01,0.0
Kireevo(BG)/Zaychar(RS),Serbia,Bulgaria,2008-10-01,
Kiskundorozsma,Hungary,Serbia,2008-10-01,213.0
Kiskundorozsma,Serbia,Hungary,2008-10-01,0.0
Kiyikoy,Russia,Republic of Türkiye,2008-10-01,0.0
Klaipeda,Liquefied Natural Gas,Lithuania,2008-10-01,0.0
Kondratki,Belarus,Poland,2008-10-01,2450.0
Korneti,Estonia,Latvia,2008-10-01,155.0
Korneti,Latvia,Estonia,2008-10-01,4.0
Kotlovka,Belarus,Lithuania,2008-10-01,345.0
KrK - Omisalj,Liquefied Natural Gas,Croatia,2008-10-01,0.0
KrK - Omisalj,Croatia,Liquefied Natural Gas,2008-10-01,0.0
Kula,Greece,Bulgaria,2008-10-01,0.0
Kula,Bulgaria,Greece,2008-10-01,118.0
Laa,Czech Republic,Austria,2008-10-01,0.0
Laa,Austria,Czech Republic,2008-10-01,
Lanzhot,Slovak Republic,Czech Republic,2008-10-01,2202.0
Lanzhot,Czech Republic,Slovak Republic,2008-10-01,0.0
Larrau,France,Spain,2008-10-01,147.0
Larrau,Spain,France,2008-10-01,0.0
Lasow,Germany,Poland,2008-10-01,80.0
Lindau,Germany,Austria,2008-10-01,0.0
Livorno,Liquefied Natural Gas,Italy,2008-10-01,0.0
Malkoclar,Republic of Türkiye,Bulgaria,2008-10-01,0.0
Malkoclar,Bulgaria,Republic of Türkiye,2008-10-01,1068.0
Malkoclar2,Republic of Türkiye,Bulgaria,2008-10-01,
Mallnow (Frankfurt am Oder),Germany,Poland,2008-10-01,0.0
Mallnow (Frankfurt am Oder),Poland,Germany,2008-10-01,2210.0
Marmara Ereglisi,Liquefied Natural Gas,Republic of Türkiye,2008-10-01,186.0
Marmara Ereglisi,Republic of Türkiye,Liquefied Natural Gas,2008-10-01,
Mazara del Vallo,Tunisia,Italy,2008-10-01,2010.0
Mediesu Aurit,Ukraine,Romania,2008-10-01,73.0
Melendugno (TAP),Albania,Italy,2008-10-01,0.0
Melendugno (TAP),Italy,Albania,2008-10-01,0.0
Moffat,United Kingdom,Ireland,2008-10-01,396.0
Mokri Haj,Slovak Republic,Czech Republic,2008-10-01,0.0
Montoir de Bretagne,Liquefied Natural Gas,France,2008-10-01,576.0
Moravia,Czech Republic,Poland,2008-10-01,0.0
Mosonmagyarovar,Austria,Hungary,2008-10-01,170.0
Mosonmagyarovar,Hungary,Austria,2008-10-01,0.0
Murfeld,Austria,Slovenia,2008-10-01,176.0
Murgardos,Liquefied Natural Gas,Spain,2008-10-01,0.0
Musel,Liquefied Natural Gas,Spain,2008-10-01,0.0
Narva,Russia,Estonia,2008-10-01,0.0
Negru Voda,Romania,Bulgaria,2008-10-01,1398.0
Negru Voda,Bulgaria,Romania,2008-10-01,0.0
Nord Stream,Russia,Germany,2008-10-01,0.0
Northern Offshore Gas Transport (NOGAT),Denmark,Netherlands,2008-10-01,127.0
Not Elsewhere Specified,Croatia,Italy,2008-10-01,54.0
Not Elsewhere Specified,Finland,Liquefied Natural Gas,2008-10-01,0.0
Not Elsewhere Specified,Liquefied Natural Gas,Finland,2008-10-01,0.0
Not Elsewhere Specified,Not Elsewhere Specified,Ukraine,2008-10-01,0.0
Not Elsewhere Specified,Russia,Ukraine,2008-10-01,12861.0
Not Elsewhere Specified,Republic of Türkiye,Liquefied Natural Gas,2008-10-01,0.0
Not Elsewhere Specified,Ukraine,"Moldova, Republic",2008-10-01,391.0
Nybro,Norway,Denmark,2008-10-01,0.0
Obbicht,Netherlands,Belgium,2008-10-01,32.0
Obergailbach,Germany,France,2008-10-01,652.0
Oberkappel,Austria,Germany,2008-10-01,8.0
Oberkappel,Germany,Austria,2008-10-01,167.0
"Oberkappel, Uberackern, Storage/distribution",Germany,Austria,2008-10-01,190.0
"Oberkappel, Uberackern, Storage/distribution",Austria,Germany,2008-10-01,176.0
Olbernhau,Germany,Czech Republic,2008-10-01,532.0
Olbernhau,Czech Republic,Germany,2008-10-01,29.0
Oltingue,France,Switzerland,2008-10-01,418.0
Oltingue,Switzerland,France,2008-10-01,0.0
Oude (H-Gas),Netherlands,Germany,2008-10-01,255.0
Oude (H-Gas),Germany,Netherlands,2008-10-01,324.0
Oude (L-Gas),Netherlands,Germany,2008-10-01,0.0
Oude (L-Gas),Germany,Netherlands,2008-10-01,0.0
Panigaglia,Liquefied Natural Gas,Italy,2008-10-01,94.0
Petange,Belgium,Luxembourg,2008-10-01,6.0
Piombino,Liquefied Natural Gas,Italy,2008-10-01,0.0
Privalka,Belarus,Lithuania,2008-10-01,1.0
Remich,Germany,Luxembourg,2008-10-01,81.0
Revithoussa,Liquefied Natural Gas,Greece,2008-10-01,142.0
Revithoussa,Greece,Liquefied Natural Gas,2008-10-01,
Rogatec,Slovenia,Croatia,2008-10-01,110.0
Rogatec,Croatia,Slovenia,2008-10-01,0.0
Ruggel,Austria,Liechtenstein,2008-10-01,6.0
s Gravenvoeren,Belgium,Netherlands,2008-10-01,0.0
s Gravenvoeren,Netherlands,Belgium,2008-10-01,0.0
Sagunto,Liquefied Natural Gas,Spain,2008-10-01,453.0
Sâkiai,Lithuania,Russia,2008-10-01,82.0
Samsun,Russia,Republic of Türkiye,2008-10-01,744.0
Santaka,Lithuania,Poland,2008-10-01,0.0
Santaka,Poland,Lithuania,2008-10-01,0.0
Saros FSRU,Liquefied Natural Gas,Republic of Türkiye,2008-10-01,
Sines,Liquefied Natural Gas,Portugal,2008-10-01,208.0
Snohvit,Norway,Liquefied Natural Gas,2008-10-01,48.0
South Hook,Liquefied Natural Gas,United Kingdom,2008-10-01,0.0
St Fergus (Alvheim and Edvard Greig),Norway,United Kingdom,2008-10-01,0.0
St Fergus (GB) / Gjoa Gas Pipeline (NO),Norway,United Kingdom,2008-10-01,
St Fergus (GB) / Statfjord-Tampen Link (NO),Norway,United Kingdom,2008-10-01,
St Fergus (Statfjord),Norway,United Kingdom,2008-10-01,336.0
St Fergus (Vesterled),Norway,United Kingdom,2008-10-01,934.0
Stara Zagora,Greece,Bulgaria,2008-10-01,
Stara Zagora,Bulgaria,Greece,2008-10-01,0.0
Swinoujscie,Liquefied Natural Gas,Poland,2008-10-01,0.0
Tarifa,Morocco,Spain,2008-10-01,716.0
Tarifa,Spain,Morocco,2008-10-01,0.0
Tarvisio,Austria,Italy,2008-10-01,1615.0
Tarvisio,Italy,Austria,2008-10-01,0.0
Tasnieres (L),Belgium,France,2008-10-01,446.0
Teesside,Liquefied Natural Gas,United Kingdom,2008-10-01,0.0
Teesside via CATS,Norway,United Kingdom,2008-10-01,0.0
Tegelen (OGE),Netherlands,Germany,2008-10-01,0.0
Thayngen,Germany,Switzerland,2008-10-01,0.0
Tietierowka,Belarus,Poland,2008-10-01,6.0
Turkgozu,Georgia,Republic of Türkiye,2008-10-01,0.0
Tuy,Portugal,Spain,2008-10-01,0.0
Tuy,Spain,Portugal,2008-10-01,0.0
Uberackern I,Austria,Germany,2008-10-01,
Uberackern I/II,Germany,Austria,2008-10-01,
Uberackern II,Austria,Germany,2008-10-01,121.0
Uberackern II,Germany,Austria,2008-10-01,17.0
Ungheni,Romania,"Moldova, Republic",2008-10-01,0.0
Varska,Russia,Estonia,2008-10-01,64.0
Velke Kapusany,Ukraine,Slovak Republic,2008-10-01,5485.0
Velke Zlievce,Hungary,Slovak Republic,2008-10-01,0.0
Velke Zlievce,Slovak Republic,Hungary,2008-10-01,0.0
VIP Iberico,Portugal,Spain,2008-10-01,
VIP Iberico,Spain,Portugal,2008-10-01,
VIP Pirineos,France,Spain,2008-10-01,
VIP Pirineos,Spain,France,2008-10-01,
VIP-BENE,Belgium,Netherlands,2008-10-01,
VIP-BENE,Netherlands,Belgium,2008-10-01,
VIP-THE-ZTP,Belgium,Germany,2008-10-01,
VIP-THE-ZTP,Germany,Belgium,2008-10-01,
Virtualys,Belgium,France,2008-10-01,
Virtualys,France,Belgium,2008-10-01,
Vlieghuis (RWE),Netherlands,Germany,2008-10-01,0.0
Vyrava,Poland,Slovak Republic,2008-10-01,0.0
Vyrava,Slovak Republic,Poland,2008-10-01,0.0
Waidhaus,Czech Republic,Germany,2008-10-01,508.0
Waidhaus,Germany,Czech Republic,2008-10-01,0.0
Wallbach,Germany,Switzerland,2008-10-01,1265.0
Wallbach,Switzerland,Germany,2008-10-01,
WestGasTransport (WGT) Pipeline,United Kingdom,Netherlands,2008-10-01,77.0
Winterswijk,Germany,Netherlands,2008-10-01,0.0
Winterswijk,Netherlands,Germany,2008-10-01,481.0
